Hmong,English
(1) soj ntsuam seb us neeg mob puas txaus siab rau lawv;,(1) examining the personal effects of the patient;
(1) Thaum lub sij hawm mus soj ntsuam thawj zaug ua ntej yuav muab kev pab tu xyuas qhov chaw muab kev pab thaum yuav tag sim neej yuav tsum tau qhia (txhais tias hais qhia) thiab muab daim ntawv qhia txog tus neeg mob cov cai thiab dej num rau tus neeg mob los sis tus neeg sawv cev uas ua hom lus thiab tus xeeb ceem uas tus neeg mob nkag siab;,(1) During the initial assessment visit in advance of furnishing care the hospice must provide the patient or representative with verbal (meaning spoken) and written notice of the patient�s rights and responsibilities in a language and manner that the patient understands;
(2) Qhov chaw muab kev pab thaum yuav tag sim neej yuav tsum tau ua raws li cov uas yuav tsum tau ua hauv seem me (subpart) I hauv Code of Federal Regulations (CFR) 489 nyob rau hauv tshooj no hais txog cov ntawv teev qhia kev kho mob ua ntej (advance directives).,(2) The hospice must comply with the requirements of subpart I of part Code of Federal Regulations (CFR) 489 of this chapter regarding advance directives.
(2) soj ntsuam tej ntaub ntawv kho mob uas nyob hauv lub chaw tu neeg;,(2) examining the medical records of the patient in the possession of the facility;
"(3) nug tus neeg uas muaj npe ua tus yuav hu tau thaum muaj xwm txheej ceev los sis nug tsev neeg saib tus neeg mob puas tau ua daim ntawv npaj kho tus mob tseg, thiab xyuas saib tus neeg mob puas muaj ib tug kws kho mob uas nws niaj zaus mus cuag thaum nws muaj mob; thiab",(3) inquiring of any emergency contact or family member contacted whether the patient has executed an advance directive and whether the patient has a physician to whom the patient normally goes for care; and
(3) Qhov chaw muab kev pab thaum yuav tag sim neej yuav tsum tau tus neeg mob los sis tus neeg sawv cev tus mem tes los ua pov thawj tias nws tau txais tsab ntawv qhia txog cov cai thiab dej num ua qauv lawm,(3)The hospice must obtain the patient�s or representative�s signature confirming that he or she has received a copy of the notice of rights and responsibilities
"(4) nug tus kws kho mob uas tus neeg mob niaj zaus mus cuag thaum nws muaj mob, yog tias paub tias yog leej twg, saib tus kws kho mob puas paub tias tus neeg mob puas tau ua daim ntawv npaj kho mob tseg","(4) inquiring of the physician to whom the patient normally goes for care, if known, whether the patient has executed an advance directive"
(a) Cov neeg mob muaj txoj cai koom tes npaj nrog txoj kev kho mob,(a) Patients shall have the right to participate in the planning of their health care
"(b) Yog thaum tus neeg mob nyuam qhuav tuaj nkag nyob hauv lub chaw es nws tsis nco qab thiab hais tsis tau lus lawm, lub chaw yuav tsum sib zog nrhiav raws li qhov yuav tsum tau ua hauv nqe (c) kom cuag tau nws tsev neeg los yog tus neeg sawv cev nws uas tus neeg mob tau teev tus neeg ntawd lub npe nyob hauv ntaub ntawv tseg rau lub chaw tu neeg tias nws yog tus yuav hu tau rau thaum muaj xwm txheej ceev","(b) If a patient who enters a facility is unconscious or comatose or is unable to communicate, the facility shall make reasonable efforts as required under paragraph (c) to notify either a family member or a person designated in writing by the patient as the person to contact in an emergency that the patient has been admitted to the facility"
"(c) Thaum tshawb xyuas li qhov ua tau mus nrhiav cuag tsev neeg los yog tus neeg uas yuav hu tau rau thaum muaj xwm txheej ceev, lub chaw tu neeg yuav xyuas tus neeg mob tej ntaub ntawv uas nyob hauv lub chaw saib lawv muaj kev sib raug zoo li cas","(c) In making reasonable efforts to notify a family member or designated emergency contact, the facility shall attempt to identify family members or a designated emergency contact by examining the personal effects of the patient and the medical records of the patient in the possession of the facility"
"(Nyob rau tus (cov) askhaus tso nyiaj ua ke, yuav tsum tuav neeg mob nyiaj nyias feem rau nyias)","(In pooled accounts, there must be a separate accounting for each resident�s share)"
(qhov mob) tsis tau ua kab mob loj; tsis tau txaus txhawj; tsis tau txaus ntshai,benign
